Source,Tweet Text,Date,Compound,Positive,Neutral,Negative,Tweets Ago
@BBC,"😂 'JESUS DID NOT HAVE CUSTARD CREAMS!'

Don't let the Lent Police catch you cheating this #EasterWeekend. https://t.co/lLXFoF5fdg",Fri Mar 30 18:01:02 +0000 2018,-0.5983,0.0,0.196,0.804,64
@BBC,"An Oscar-winning short film, The Silent Child tells the story of a profoundly deaf child born to hearing parents, w… https://t.co/AD1CGpoZvu",Fri Mar 30 17:29:06 +0000 2018,0.0,0.0,0.0,1.0,65
@BBC,"'Change doesn't come from outside.'

#Pilgrimage: The Road to Santiago | 9pm | @BBCTwo https://t.co/N4Fxc0EU77",Fri Mar 30 17:06:00 +0000 2018,0.0,0.0,0.0,1.0,66
@BBC,❤️ A dying man was granted his final wish in hospital - a visit from his dog. https://t.co/xE4rkcBJNv,Fri Mar 30 16:26:45 +0000 2018,0.5719,0.266,0.0,0.734,67
@BBC,"The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.… https://t.co/fe3MDr2TN9",Fri Mar 30 16:02:04 +0000 2018,-0.2144,0.073,0.116,0.81,68
@BBC,"RT @bbceurovision: 🇬🇧 Presenting our 2018 dream team! @Grahnort hosts the Grand Final on @BBCOne. Fresh from You Decide, we welcome @Rylan!…",Fri Mar 30 15:25:47 +0000 2018,0.8715,0.377,0.0,0.623,69
@BBC,RT @BBCNews: Heartbeat actor Bill Maynard dies at 89 https://t.co/BMeMLwjPpV,Fri Mar 30 15:10:56 +0000 2018,0.0,0.0,0.0,1.0,70
@BBC,We use an estimated 8.5b plastic straws every year in the UK and they're among the top 10 items found in beach clea… https://t.co/K9r6HRVu3V,Fri Mar 30 14:54:01 +0000 2018,0.2023,0.073,0.0,0.927,71
@BBC,Graphic artist Gabriella Marcella uses a vintage #Risograph printer to produce amazing designs. https://t.co/W9JK5vLbSf,Fri Mar 30 13:05:00 +0000 2018,0.5859,0.241,0.0,0.759,72
@BBC,"Meena was raised to be a ‘good Indian girl' - to cook, clean and find a husband.

But as an environmental activist… https://t.co/HWMRk97Wdm",Fri Mar 30 12:04:01 +0000 2018,0.4019,0.124,0.0,0.876,73
@BBC,RT @BBC6Music: Elementary! Martin Freeman and @ACIDJAZZRECS' @eddiepiller delve into their record bag(gins) to share some choice cuts as th…,Fri Mar 30 10:39:54 +0000 2018,0.4574,0.213,0.09,0.697,74
@BBC,🐘🤷‍♀️ A video of a 'smoking' wild elephant in India is baffling scientists and wildlife experts around the world. https://t.co/CENdAQYy5v,Fri Mar 30 10:33:02 +0000 2018,0.0,0.0,0.0,1.0,75
@BBC,"Advertisers are the experts at persuading us to eat burgers, crisps and fizzy drinks. But could they convince us to… https://t.co/JpuBKADOMB",Fri Mar 30 10:03:04 +0000 2018,0.25,0.091,0.0,0.909,76
@BBC,It's been described as a 'game changer' for Multiple Sclerosis patients - scientists say a stem cell transplant can… https://t.co/Ru1R67FHig,Fri Mar 30 09:06:02 +0000 2018,0.0,0.0,0.0,1.0,77
